title,url,price
"111-20 73rd Avenue Unit 6h, Forest Hills, NY 11375",https://www.zillow.com/homedetails/111-20-73rd-Ave-6H-Forest-Hills-NY-11375/2056705820_zpid/,"$450,000"
"1249 E 87th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/1249-E-87th-St-Brooklyn-NY-11236/30771385_zpid/,"$709,000"
"25 Laurie Ct, Staten Island, NY 10304",https://www.zillow.com/homedetails/25-Laurie-Ct-Staten-Island-NY-10304/32294417_zpid/,"$2,388,888"
"255 W 108th St Apt 1f, New York, NY 10025",https://www.zillow.com/homedetails/255-W-108th-St-APT-1F-New-York-NY-10025/2057615951_zpid/,"$230,000"
"165 W End Ave Apt 7n, New York, NY 10023",https://www.zillow.com/homedetails/165-W-End-Ave-APT-7N-New-York-NY-10023/244709282_zpid/,"$1,649,000"
"1893 Harrison Avenue, Bronx, NY 10453",https://www.zillow.com/homedetails/1893-Harrison-Ave-Bronx-NY-10453/29782134_zpid/,"$815,000"
"242 E 25th St Apt 9a, New York, NY 10010",https://www.zillow.com/homedetails/242-E-25th-St-APT-9A-New-York-NY-10010/321905415_zpid/,"$600,000"
"151-35 84th Street Unit 4b, Jamaica, NY 11414",https://www.zillow.com/homedetails/15135-84th-St-APT-4B-Jamaica-NY-11414/32168844_zpid/,"$314,800"
"3903 Nostrand Ave Apt 5p, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3903-Nostrand-Ave-APT-5P-Brooklyn-NY-11235/81947397_zpid/,"$575,000"
"303 E 57th St Apt 19b, New York, NY 10022",https://www.zillow.com/homedetails/303-E-57th-St-APT-19B-New-York-NY-10022/219679058_zpid/,"$330,000"
"1874 Pelham Pkwy S Apt 4r, Bronx, NY 10461",https://www.zillow.com/homedetails/1874-Pelham-Pkwy-S-APT-4R-Bronx-NY-10461/215952151_zpid/,"$295,000"
"2303 Avenue K, Brooklyn, NY 11210",https://www.zillow.com/homedetails/2303-Avenue-K-Brooklyn-NY-11210/30752189_zpid/,"$2,995,000"
"2922 Haskin Street, Bronx, NY 10461",https://www.zillow.com/homedetails/2922-Haskin-St-Bronx-NY-10461/29840835_zpid/,"$635,000"
"354 Sleight Ave, Staten Island, NY 10307",https://www.zillow.com/homedetails/354-Sleight-Ave-Staten-Island-NY-10307/32376129_zpid/,"$600,000"
"300 E 64th St Apt 5e, New York, NY 10065",https://www.zillow.com/homedetails/300-E-64th-St-APT-5E-New-York-NY-10065/219688675_zpid/,"$895,000"
"37 Paerdegat 13th Street, Brooklyn, NY 11236",https://www.zillow.com/homedetails/37-Paerdegat-13th-St-Brooklyn-NY-11236/2054463557_zpid/,"$529,000"
"160-46 25 Avenue, Flushing, NY 11357",https://www.zillow.com/homedetails/16046-25th-Ave-Flushing-NY-11357/32035288_zpid/,"$1,180,000"
